"x" "y" "z"
"458" 1.6 51.47 22.3115000724792
"459" 1.6 51.48 22.6723998260498
"460" 1.6 51.49 22.8643998718262
"461" 1.6 51.5 22.7087999725342
"462" 1.6 51.51 22.7975997924805
"463" 1.6 51.52 22.9885000228882
"464" 1.6 51.53 23.6887999725342
"465" 1.6 51.54 24.4775998687744
"466" 1.6 51.55 24.9455999755859
"467" 1.6 51.56 25.5112000274658
"468" 1.6 51.57 24.0379998207092
"469" 1.6 51.58 21.9048000335693
"470" 1.6 51.59 13.5455998802185
"471" 1.6 51.6 1.52439999580383
"472" 1.6 51.61 5.40040001869202
"473" 1.6 51.62 3.92949999570847
"474" 1.6 51.63 4.1343999671936
"475" 1.6 51.64 3.44559998989105
"476" 1.6 51.65 7.22319999694824
"477" 1.6 51.66 15.0732001113892
"478" 1.6 51.67 17.4114999771118
"479" 1.6 51.68 17.5924000549316
"480" 1.6 51.69 17.7187998962402
"481" 1.6 51.7 16.8187998580933
"482" 1.6 51.71 16.7440000915527
"483" 1.6 51.72 20.6089999198914
"484" 1.6 51.73 17.1047999572754
"485" 1.6 51.74 8.00359992980957
"486" 1.6 51.75 8.37959999084473
"487" 1.6 51.76 8.73080001831055
"488" 1.6 51.77 8.07150003910065
"489" 1.6 51.78 4.79880000114441
"490" 1.6 51.79 13.3356000041962
"491" 1.6 51.8 17.4563999176025
"492" 1.6 51.81 17.7048000335693
"493" 1.6 51.82 16.2549999237061
"494" 1.6 51.83 16.6047999191284
"495" 1.6 51.84 17.6147999572754
"496" 1.6 51.85 18.1731998825073
"497" 1.6 51.86 19.7531999969482
"498" 1.6 51.87 20.9284999847412
"499" 1.6 51.88 21.0804000854492
"500" 1.6 51.89 17.6368000793457
"501" 1.6 51.9 15.9207999801636
"502" 1.6 51.91 17.0852000808716
"503" 1.6 51.92 15.2
"504" 1.6 51.93 8.14119993209839
"505" 1.6 51.94 4.83159997701645
"506" 1.6 51.95 13.3235999488831
"507" 1.6 51.96 14.9620000457764
"508" 1.6 51.97 14.6415001392365
"509" 1.6 51.98 15.5543999862671
"510" 1.6 51.99 14.379999961853
"511" 1.6 52 13.6704000473022
"512" 1.6 52.01 15.6332000732422
"513" 1.6 52.02 16.2740000724792
"514" 1.6 52.03 12.1379999923706
"515" 1.6 52.04 13.8448001480103
"516" 1.6 52.05 14.6059999465942
"517" 1.61 50.77 NA
"518" 1.61 50.78 NA
"519" 1.61 50.79 NA
"520" 1.61 50.8 NA
"521" 1.61 50.81 NA
"522" 1.61 50.82 NA
"523" 1.61 50.83 NA
"524" 1.61 50.84 NA
"525" 1.61 50.85 NA
"526" 1.61 50.86 NA
"527" 1.61 50.87 NA
"528" 1.61 50.88 1.17320001095533
"529" 1.61 50.89 3.71999999046326
"530" 1.61 50.9 15.0159998321533
"531" 1.61 50.91 21.4079998779297
"532" 1.61 50.92 21.2799998283386
"533" 1.61 50.93 26.4239998626709
"534" 1.61 50.94 27.7679998779297
"535" 1.61 50.95 32.6720002746582
"536" 1.61 50.96 38.0800006103516
"537" 1.61 50.97 48.5300006866455
"538" 1.61 50.98 38.7708001708984
"539" 1.61 50.99 38.6223999023438
"540" 1.61 51 39.0456001281738
"541" 1.61 51.01 38.0951997375488
"542" 1.61 51.02 40.6065000534058
"543" 1.61 51.03 43.6196002197266
"544" 1.61 51.04 37.7263999938965
"545" 1.61 51.05 35.3227998352051
"546" 1.61 51.06 35.2179997253418
"547" 1.61 51.07 34.6930000305176
"548" 1.61 51.08 32.4560001373291
"549" 1.61 51.09 30.8719998931885
"550" 1.61 51.1 33.1431998443604
"551" 1.61 51.11 39.6547999572754
"552" 1.61 51.12 45.3840000152588
"553" 1.61 51.13 44.4987995910645
"554" 1.61 51.14 44.0380000305176
"555" 1.61 51.15 44.338399810791
"556" 1.61 51.16 45.1164002990723
"557" 1.61 51.17 46.1709999084473
"558" 1.61 51.18 48.7008003234863
"559" 1.61 51.19 50.2351998901367
"560" 1.61 51.2 51.0883999633789
"561" 1.61 51.21 51.1103999328613
"562" 1.61 51.22 49.6444999694824
"563" 1.61 51.23 50.1904000854492
"564" 1.61 51.24 50.7251998901367
"565" 1.61 51.25 50.5755999755859
"566" 1.61 51.26 43.2231999206543
"567" 1.61 51.27 32.7454999923706
"568" 1.61 51.28 26.1044000244141
